epoch,E1_miou,E1_oa,E2_miou,E2_oa,E3_miou,E3_oa,E4_miou,E4_oa,E5_miou,E5_oa,E6_miou,E6_oa,E7_miou,E7_oa,E8_miou,E8_oa
39,0.8325,0.9289,0.8018,0.9122,0.6341,0.7771,0.9384,0.9749,0.9517,0.9805,0.8668,0.9441,0.9384,0.9749,0.9105,0.9592
40,0.9381,0.9748,0.7191,0.865,0.2268,0.3727,0.8273,0.9247,0.9642,0.9862,0.7149,0.8612,0.8273,0.9247,0.9642,0.9849
41,0.9408,0.9761,0.9375,0.9743,0.411,0.4965,0.9567,0.9827,0.9694,0.9882,0.9341,0.9736,0.9567,0.9827,0.964,0.985
42,0.9491,0.9795,0.9346,0.9731,0.4068,0.4938,0.954,0.9817,0.9632,0.9859,0.9386,0.9754,0.954,0.9817,0.9596,0.9828
43,0.9344,0.9737,0.9015,0.9589,0.5714,0.6948,0.9606,0.9843,0.9644,0.9866,0.9313,0.9728,0.9606,0.9843,0.9474,0.9785
44,0.8534,0.9377,0.8827,0.9502,0.8862,0.9475,0.9487,0.9794,0.9571,0.9836,0.9537,0.9818,0.9487,0.9794,0.9601,0.9836
45,0.8753,0.9478,0.9378,0.9744,0.8229,0.9089,0.9585,0.9833,0.952,0.982,0.961,0.9845,0.9585,0.9833,0.9697,0.9877
46,0.4893,0.5909,0.9314,0.9714,0.7362,0.8503,0.945,0.9779,0.9475,0.9795,0.9483,0.9789,0.945,0.9779,0.9698,0.987
47,0.8119,0.9042,0.9344,0.9728,0.814,0.9023,0.9516,0.9807,0.9645,0.9857,0.9575,0.9828,0.9516,0.9807,0.9732,0.9884
48,0.8329,0.9259,0.9407,0.9762,0.9237,0.9671,0.9554,0.9827,0.9646,0.9864,0.9583,0.9835,0.9554,0.9827,0.9754,0.99
49,0.9498,0.98,0.9422,0.9771,0.913,0.9618,0.9641,0.9864,0.9608,0.9853,0.9675,0.9872,0.9641,0.9864,0.9763,0.9907
50,0.9631,0.9854,0.9421,0.9762,0.9291,0.97,0.951,0.9813,0.97,0.9887,0.9592,0.9839,0.951,0.9813,0.9749,0.9901
51,0.9608,0.9843,0.9428,0.9771,0.8379,0.9171,0.9549,0.9827,0.968,0.988,0.9536,0.9817,0.9549,0.9827,0.969,0.9881
52,0.9562,0.9824,0.9363,0.9743,0.9461,0.9773,0.8842,0.953,0.9695,0.9886,0.9657,0.9867,0.8842,0.953,0.9667,0.9874
53,0.9349,0.9742,0.9443,0.9775,0.9652,0.9857,0.935,0.9747,0.9753,0.9908,0.9663,0.9869,0.935,0.9747,0.9662,0.9873
54,0.9034,0.961,0.9518,0.9806,0.9764,0.9907,0.9635,0.9859,0.8832,0.9504,0.9714,0.9889,0.9635,0.9859,0.9715,0.9892
55,0.9406,0.9763,0.64,0.7536,0.9725,0.9891,0.9399,0.9752,0.7842,0.9158,0.9299,0.9696,0.9399,0.9752,0.9702,0.9886
56,0.9517,0.9796,0.7191,0.8289,0.9704,0.9885,0.9549,0.9814,0.7251,0.8914,0.9444,0.9768,0.9549,0.9814,0.9646,0.9865
57,0.9614,0.9826,0.9253,0.968,0.9699,0.9878,0.9498,0.9797,0.7327,0.8948,0.9519,0.9808,0.9498,0.9797,0.971,0.9887
58,0.9613,0.9828,0.9473,0.9787,0.975,0.9903,0.9287,0.9715,0.8867,0.9568,0.9552,0.9822,0.9287,0.9715,0.9721,0.9881
59,0.9576,0.9817,0.9541,0.9819,0.975,0.9902,0.9467,0.9787,0.9251,0.9718,0.9427,0.9764,0.9467,0.9787,0.9745,0.9891
60,0.9589,0.9827,0.9414,0.9763,0.9754,0.9904,0.9421,0.9758,0.9267,0.9721,0.8207,0.9065,0.9421,0.9758,0.9721,0.9882
61,0.9574,0.9825,0.6934,0.8109,0.9713,0.9889,0.9358,0.973,0.9258,0.9715,0.8535,0.9279,0.9358,0.973,0.9741,0.9892
62,0.9583,0.9829,0.6975,0.8129,0.9747,0.9904,0.9472,0.9784,0.9578,0.9839,0.9198,0.9652,0.9472,0.9784,0.9716,0.9878
63,0.9657,0.9862,0.6947,0.8113,0.972,0.9891,0.9459,0.978,0.9706,0.9886,0.9311,0.9711,0.9459,0.978,0.9723,0.9878
