Actual/Predicted,Class_0(class_0),Class_1(class_1),Class_2(class_2)
Class_0(class_0),0.9868,0.0008,0.0124
Class_1(class_1),0.0014,0.9751,0.0235
Class_2(class_2),0.0623,0.0393,0.8984
