Actual/Predicted,Class_0(class_0),Class_1(class_1),Class_2(class_2)
Class_0(class_0),0.983,0.0084,0.0569
Class_1(class_1),0.0025,0.9915,0.0001
Class_2(class_2),0.0145,0.0001,0.943
