Actual/Predicted,Class_0(class_0),Class_1(class_1),Class_2(class_2)
Class_0(class_0),0.9848,0.0072,0.0574
Class_1(class_1),0.0025,0.9927,0.0001
Class_2(class_2),0.0127,0.0001,0.9425
