Actual/Predicted,Class_0(class_0),Class_1(class_1),Class_2(class_2)
Class_0(class_0),0.9563,0.001,0.0347
Class_1(class_1),0.0025,0.9989,0.0001
Class_2(class_2),0.0412,0.0001,0.9652
