Actual/Predicted,Class_0(class_0),Class_1(class_1),Class_2(class_2)
Class_0(class_0),0.9865,0.0067,0.0722
Class_1(class_1),0.0025,0.9932,0.0001
Class_2(class_2),0.011,0.0001,0.9277
