Actual/Predicted,Class_0(class_0),Class_1(class_1),Class_2(class_2)
Class_0(class_0),0.9681,0.001,0.0371
Class_1(class_1),0.0025,0.9987,0.0002
Class_2(class_2),0.0294,0.0003,0.9627
