Actual/Predicted,Class_0(class_0),Class_1(class_1),Class_2(class_2)
Class_0(class_0),0.9920,0.0033,0.0047
Class_1(class_1),0.0014,0.9968,0.0018
Class_2(class_2),0.0348,0.0053,0.9599
