epoch,StratTrans_miou,StratTrans_oa,Swin3D_miou,Swin3D_oa,hybridTM_miou,hybridTM_oa,minkunet_miou,minkunet_oa,oacnns_miou,oacnns_oa,pt-v3_miou,pt-v3_oa,spunet_miou,spunet_oa,TopoFusion_miou,TopoFusion_oa
38,0.8862,0.904,0.9101,0.9266,0.9197,0.9597,0.4173,0.6321,0.828,0.9227,0.6156,0.7698,0.6323,0.8242,0.9195,0.9635
39,0.9076,0.9236,0.8412,0.9252,0.8776,0.9394,0.5524,0.7316,0.8325,0.9289,0.6819,0.8162,0.6074,0.8008,0.9105,0.9592
40,0.9219,0.937,0.7019,0.8793,0.9401,0.9762,0.5909,0.7641,0.9381,0.9748,0.8863,0.9533,0.6018,0.8043,0.9642,0.9849
41,0.9232,0.9394,0.8424,0.8701,0.9578,0.9829,0.5467,0.7392,0.9408,0.9761,0.8876,0.9533,0.5692,0.7774,0.964,0.985
42,0.9124,0.9296,0.8504,0.8777,0.9639,0.9858,0.5093,0.7252,0.9491,0.9795,0.9123,0.9644,0.6235,0.8184,0.9596,0.9828
43,0.7676,0.9257,0.8394,0.8658,0.9654,0.9865,0.3336,0.5442,0.9344,0.9737,0.8766,0.949,0.6597,0.8339,0.9474,0.9785
44,0.9259,0.9422,0.8464,0.8866,0.963,0.9851,0.5113,0.6962,0.8534,0.9377,0.9313,0.9726,0.6623,0.8312,0.9601,0.9836
45,0.8722,0.9591,0.8868,0.91,0.9582,0.9824,0.6569,0.7995,0.8753,0.9478,0.8439,0.9275,0.7409,0.8792,0.9697,0.9877
46,0.9296,0.9412,0.8896,0.91,0.9536,0.98,0.5379,0.7254,0.4893,0.5909,0.8888,0.9459,0.7079,0.8655,0.9698,0.987
47,0.911,0.9684,0.8894,0.9089,0.9552,0.9809,0.4532,0.6781,0.8119,0.9042,0.8223,0.9084,0.6406,0.823,0.9732,0.9884
48,0.9141,0.9279,0.9016,0.918,0.9618,0.9849,0.4707,0.6796,0.8329,0.9259,0.8885,0.9551,0.7827,0.9004,0.9754,0.99
49,0.9022,0.9648,0.9011,0.9197,0.9637,0.9865,0.5262,0.7277,0.9498,0.98,0.8994,0.9584,0.7867,0.904,0.9763,0.9907
50,0.9176,0.9346,0.8824,0.9594,0.961,0.9851,0.4071,0.6406,0.9631,0.9854,0.8782,0.9468,0.7454,0.8811,0.9749,0.9901
51,0.9333,0.9463,0.9293,0.9479,0.9565,0.9823,0.3968,0.6159,0.9608,0.9843,0.8915,0.9558,0.828,0.9259,0.969,0.9881
52,0.8852,0.9034,0.9124,0.9381,0.9419,0.973,0.3952,0.5997,0.9562,0.9824,0.9128,0.9655,0.8496,0.9369,0.9667,0.9874
53,0.9389,0.954,0.9126,0.9276,0.9356,0.9688,0.4419,0.6379,0.9349,0.9742,0.7145,0.84,0.7652,0.8933,0.9662,0.9873
54,0.9346,0.9482,0.9163,0.931,0.9473,0.976,0.4319,0.6296,0.9034,0.961,0.9191,0.9674,0.9044,0.9614,0.9715,0.9892
55,0.9301,0.9446,0.9214,0.9372,0.9601,0.9837,0.461,0.6782,0.9406,0.9763,0.8982,0.9566,0.913,0.9655,0.9702,0.9886
56,0.9165,0.9329,0.9225,0.9357,0.9657,0.9866,0.3574,0.5804,0.9517,0.9796,0.9244,0.9689,0.7638,0.8912,0.9646,0.9865
57,0.8012,0.9411,0.9141,0.9312,0.9663,0.9871,0.3246,0.5269,0.9614,0.9826,0.9406,0.9774,0.8361,0.93,0.971,0.9887
58,0.9016,0.9177,0.9235,0.9396,0.9647,0.9864,0.4022,0.6006,0.9613,0.9828,0.9395,0.9772,0.9028,0.961,0.9721,0.9881
59,0.9323,0.9531,0.9177,0.9319,0.9551,0.982,0.4997,0.68,0.9576,0.9817,0.9201,0.9672,0.8798,0.9506,0.9745,0.9891
60,0.8631,0.8844,0.9187,0.9696,0.9408,0.9747,0.4448,0.6493,0.9589,0.9827,0.9357,0.9745,0.8795,0.9506,0.9721,0.9882
61,0.8855,0.9041,0.9284,0.9671,0.928,0.9668,0.3846,0.5927,0.9574,0.9825,0.9457,0.979,0.8907,0.9556,0.9741,0.9892
