epoch,StratTrans_miou,StratTrans_oa,Swin3D_miou,Swin3D_oa,hybridTM_miou,hybridTM_oa,minkunet_miou,minkunet_oa,oacnns_miou,oacnns_oa,pt-v3_miou,pt-v3_oa,spunet_miou,spunet_oa
44,0.9788,0.9888,0.9762,0.9877,0.963,0.9851,0.5113,0.6962,0.8534,0.9377,0.9351,0.9698,0.6623,0.8312
45,0.9783,0.9882,0.9738,0.986,0.9582,0.9824,0.6569,0.7995,0.8753,0.9478,0.9548,0.9804,0.7409,0.8792
46,0.976,0.9868,0.9694,0.9839,0.9536,0.98,0.5379,0.7254,0.4893,0.5909,0.9495,0.9793,0.7079,0.8655
47,0.9781,0.9882,0.9792,0.9905,0.9552,0.9809,0.4532,0.6781,0.8119,0.9042,0.9501,0.9811,0.6406,0.823
48,0.9743,0.9864,0.9707,0.9841,0.9618,0.9849,0.4707,0.6796,0.8329,0.9259,0.8967,0.9519,0.7827,0.9004
49,0.9818,0.9912,0.9738,0.9857,0.9637,0.9865,0.5262,0.7277,0.9498,0.98,0.9401,0.9702,0.7867,0.904
50,0.9772,0.9874,0.973,0.9861,0.961,0.9851,0.4071,0.6406,0.9631,0.9854,0.9599,0.9826,0.7454,0.8811
51,0.981,0.9904,0.9693,0.9832,0.9565,0.9823,0.3968,0.6159,0.9608,0.9843,0.9718,0.9891,0.828,0.9259
52,0.9813,0.9899,0.9765,0.988,0.9419,0.973,0.3952,0.5997,0.9562,0.9824,0.9525,0.9794,0.8496,0.9369
53,0.9777,0.9881,0.9762,0.9879,0.9356,0.9688,0.4419,0.6379,0.9349,0.9742,0.9386,0.9735,0.7652,0.8933
54,0.9825,0.9914,0.9793,0.9895,0.9473,0.976,0.4319,0.6296,0.9034,0.961,0.9359,0.9713,0.9044,0.9614
55,0.9778,0.9873,0.9767,0.9874,0.9601,0.9837,0.461,0.6782,0.9406,0.9763,0.9708,0.9886,0.913,0.9655
56,0.9771,0.9878,0.9751,0.9875,0.9657,0.9866,0.3574,0.5804,0.9517,0.9796,0.954,0.9822,0.7638,0.8912
57,0.9758,0.9869,0.9745,0.9863,0.9663,0.9871,0.3246,0.5269,0.9614,0.9826,0.9623,0.9856,0.8361,0.93
58,0.9788,0.9897,0.978,0.9883,0.9647,0.9864,0.4022,0.6006,0.9613,0.9828,0.9573,0.9831,0.9028,0.961
59,0.9786,0.9887,0.979,0.9892,0.9551,0.982,0.4997,0.68,0.9576,0.9817,0.9568,0.9826,0.8798,0.9506
60,0.9824,0.9913,0.978,0.9884,0.9408,0.9747,0.4448,0.6493,0.9589,0.9827,0.9687,0.9883,0.8795,0.9506
61,0.9808,0.9901,0.9724,0.9855,0.928,0.9668,0.3846,0.5927,0.9574,0.9825,0.9696,0.9884,0.8907,0.9556
62,0.9789,0.9891,0.9731,0.9858,0.9269,0.9651,0.3702,0.5919,0.9583,0.9829,0.9624,0.9853,0.8983,0.9587
63,0.966,0.9831,0.9727,0.9849,0.9274,0.9636,0.4047,0.6389,0.9657,0.9862,0.9387,0.9771,0.947,0.9795
64,0.9775,0.9871,0.981,0.9899,0.9321,0.965,0.4251,0.6432,0.9719,0.989,0.9385,0.9773,0.9432,0.9782
